student_id,Section,Case Assignment 1 (1579),Case Assignment 2 (1843),Case Assignment 3 (2014),Pre-lecture problems for Lecture 2 (1631),Pre-lecture problems for Lecture 3 (1683),Pre-lecture problems for Lecture 4 (1731),Pre-lecture problems for Lecture 5 (1779),Pre-lecture Problems for Lecture 6 (1811),Pre-lecture Problems for Lecture 7 (1877),Pre-lecture Problems for Lecture 9 (1942),Pre-lecture Problems for Lecture 10 (1990),Pre-lecture Problems for Lecture 11 (2025),Homework 1 (1776),Homework 2 (1928),Homework 3 (2103),Final project proposal (2125),Final project (2126),Final Exam (2231)
    Points Possible,,100,100,100,10,10,10,10,10,10,10,10,10,100,100,100,0,0,100
88,107-2 作業研究 Operations Research,72,,,,9,,8,10,,,,,82,,,,,
89,107-2 作業研究 Operations Research,72,82,84,7,9,9,9,8,5,10,5,,76,85,69,,92.69,41
90,107-2 作業研究 Operations Research,,,,,,,,,,,,,,,,,,
91,107-2 作業研究 Operations Research,,,,,,,,,,,,,,,,,,
92,107-2 作業研究 Operations Research,,,,,,,,,,,,,,,,,,
93,107-2 作業研究 Operations Research and 107-2 作業研究 Operations Research,,,,,,,,,,,,,,,,,,
94,107-2 作業研究 Operations Research,,,,,,,,,,,,,,,,,,
95,107-2 作業研究 Operations Research,51,,,5,,,,,,,,,,,,,,
96,107-2 作業研究 Operations Research,,80,84,,,7,,6,3,,,,52,62,48,,92.69,40
97,107-2 作業研究 Operations Research,72,73,87,10,10,10,10,10,6,8,9,10,98,89,90,,91.19,72
98,107-2 作業研究 Operations Research,87,0,94,8,10,9,9,10,10,8,9,10,97,89,84,,89.78,78
99,107-2 作業研究 Operations Research,,,,,,,,,,,,,,,,,,
100,107-2 作業研究 Operations Research,84,82,87,,10,,10,10,3,10,,,0,80,77,,95,71
101,107-2 作業研究 Operations Research,71,86,93,10,10,10,10,10,10,10,8,10,96,98,99,,97.35,66
102,107-2 作業研究 Operations Research,72,73,87,,9,,10,10,7,10,8,6,82,82,96,,90.19,89
103,107-2 作業研究 Operations Research,69,94,99,10,9,6,4,10,8,10,9,10,98,85,74,,91.19,46
104,107-2 作業研究 Operations Research,72,82,84,9,10,10,10,8,,10,9,10,94,75,95,,92.69,88
105,107-2 作業研究 Operations Research,69,71,100,8,10,7,10,10,8,5,6,10,81,60,80,,87.94,81
106,107-2 作業研究 Operations Research,87,0,94,10,10,6,9,10,10,10,9,10,98,,99,,91.78,92
107,107-2 作業研究 Operations Research,,,,,,,,,,,,,,,,,,
108,107-2 作業研究 Operations Research,117,95,100,8,8,10,9,10,7,10,7,10,,52,71,,93.83,53
109,107-2 作業研究 Operations Research,,,,,,,,,,,,,,,,,,
110,107-2 作業研究 Operations Research,69,86,92,10,,7,,,,,,,51,,20,,0,44
111,107-2 作業研究 Operations Research,84,82,87,9,10,7,10,10,8,,,,82,,72,,94.5,38
112,107-2 作業研究 Operations Research,,,,,,,,,,,,,,,,,,
113,107-2 作業研究 Operations Research,69,86,100,10,9,10,10,10,10,10,10,10,100,94,95,,98.1,92
114,107-2 作業研究 Operations Research,,,,,,,,,,,,,,,,,,
115,107-2 作業研究 Operations Research,72,,,10,9,,,,,,,,,,,,,
116,107-2 作業研究 Operations Research,72,90,97,5,9,10,10,10,10,10,9,10,94,84,94,,94.11,76
117,107-2 作業研究 Operations Research,71,86,93,10,10,10,9,10,9,10,9,,82,96,93,,97.7,84
118,107-2 作業研究 Operations Research,69,71,100,10,10,4,10,10,8,8,10,10,82,66,91,,87.44,84
119,107-2 作業研究 Operations Research,72,80,84,10,8,10,9,8,5,,7,10,79,85,91,,92.69,66
120,107-2 作業研究 Operations Research,54,,,10,9,,,,,,,,,,,,,
121,107-2 作業研究 Operations Research,,,,,,,,,,,,,,,,,,
122,107-2 作業研究 Operations Research,,,,,,,,,,,,,,,,,,
123,107-2 作業研究 Operations Research,71,86,93,10,,10,10,10,10,8,10,10,78,89,84,,96.85,63
124,107-2 作業研究 Operations Research,72,,,,,,,,,,,,,,,,,
125,107-2 作業研究 Operations Research,69,86,,10,9,8,9,10,8,,,,81,,,,,
126,107-2 作業研究 Operations Research,51,,,,,,,,,,,,,,,,,
127,107-2 作業研究 Operations Research,87,,,10,9,,,,,,,,,,,,,
128,107-2 作業研究 Operations Research,69,94,99,10,9,8,10,10,8,10,10,10,98,86,79,,91.19,70
129,107-2 作業研究 Operations Research,87,86,92,10,8,9,10,10,0,10,9,8,100,98,98,,90.8,78
130,107-2 作業研究 Operations Research,,,,,,,,,,,,,,,,,,
131,107-2 作業研究 Operations Research,117,95,100,10,10,10,10,10,7,10,9,10,98,94,96,,98.5,78
132,107-2 作業研究 Operations Research,72,,,,4,,,,,,,,,,,,,
133,107-2 作業研究 Operations Research,69,71,100,10,7,7,9,10,5,8,2,10,71,37,81,,87.94,68
134,107-2 作業研究 Operations Research,54,84,100,10,6,5,10,10,,10,5,9,65,40,74,,95,54
135,107-2 作業研究 Operations Research,87,0,94,8,9,6,9,7,9,8,10,10,89,88,84,,91.78,74
136,107-2 作業研究 Operations Research,84,82,87,,,,,10,9,10,,,33,16,61,,95,30
137,107-2 作業研究 Operations Research,87,0,94,9,6,8,10,9,7,8,9,10,83,70,74,,78.78,73
138,107-2 作業研究 Operations Research,72,80,84,4,10,7,10,,,10,,8,81,75,18,,92.69,46
139,107-2 作業研究 Operations Research,72,73,87,,9,8,9,10,7,,7,9,96,82,71,,91.19,58
140,107-2 作業研究 Operations Research,54,84,100,10,10,7,1,10,9,8,9,10,98,92,94,,95,85
141,107-2 作業研究 Operations Research,72,82,84,10,10,9,10,10,9,10,7,10,81,88,93,,92.69,86
142,107-2 作業研究 Operations Research,,,,,,,,,,,,,,,,,,
143,107-2 作業研究 Operations Research,,,,,,,,,,,,,,,,,,
144,107-2 作業研究 Operations Research,,,,,,,,,,,,,,,,,,
145,107-2 作業研究 Operations Research,72,86,90,10,9,7,10,10,9,10,6,9,81,74,98,,98.5,93
146,107-2 作業研究 Operations Research,87,84,78,10,9,7,3,8,8,10,7,,96,87,88,,90.8,76
147,107-2 作業研究 Operations Research,87,84,78,9,9,5,10,10,10,10,8,10,91,72,88,,90.8,71
148,107-2 作業研究 Operations Research,72,90,97,10,10,9,9,10,10,10,8,10,98,88,94,,94.61,98
149,107-2 作業研究 Operations Research,69,71,100,10,10,7,10,10,4,10,6,9,98,83,85,,87.94,82
150,107-2 作業研究 Operations Research,84,82,87,9,10,7,10,10,9,10,9,10,97,93,97,,95,81
