student_id,Section,Programming Assignment 1 (7093),Programming Assignment 2 (7986),Programming Assignment 3 (8777),Homework 4 (9458),Programming Assignment 5 (10086),Programming Assignment 6 (10823),Homework 7 (Handwriting) (11608),Homework 7 (Programming) (12133),Homework 8 (12688),Quiz 0 (8209),Midterm Exam (12095)
62,資料結構與進階程式設計 Data Structures and Advanced Program Design,0,,,,,,,,,74,
63,資料結構與進階程式設計 Data Structures and Advanced Program Design,68,,,,,,,,,70,
64,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,95,
65,資料結構與進階程式設計 Data Structures and Advanced Program Design,50,,,,,,,,,36,
66,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,0,
67,資料結構與進階程式設計 Data Structures and Advanced Program Design,60,,,,,,,,,69,
68,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,86,
69,資料結構與進階程式設計 Data Structures and Advanced Program Design,56,,,,,,,,,41,
70,資料結構與進階程式設計 Data Structures and Advanced Program Design,,,,,,,,,,,
71,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,90,
72,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,43,
73,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,86,
74,資料結構與進階程式設計 Data Structures and Advanced Program Design,0,,,,,,,,,64,
75,資料結構與進階程式設計 Data Structures and Advanced Program Design,14,,,,,,,,,38,
76,資料結構與進階程式設計 Data Structures and Advanced Program Design,86,,,,,,,,,61,
77,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,30,
78,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,10,
79,資料結構與進階程式設計 Data Structures and Advanced Program Design,90,,,,,,,,,26,
80,資料結構與進階程式設計 Data Structures and Advanced Program Design,92,,,,,,,,,49,
81,資料結構與進階程式設計 Data Structures and Advanced Program Design,18,,,,,,,,,74,
82,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,97,
83,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,90,
84,資料結構與進階程式設計 Data Structures and Advanced Program Design,14,,,,,,,,,61,
85,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,73,
86,資料結構與進階程式設計 Data Structures and Advanced Program Design,38,,,,,,,,,48,
87,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,57,
88,資料結構與進階程式設計 Data Structures and Advanced Program Design,54,,,,,,,,,29,
89,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,83,
90,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,70,
91,資料結構與進階程式設計 Data Structures and Advanced Program Design,92,,,,,,,,,81,
92,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,80,
93,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,65,
